Title,Description,User_Notes,Status,Original_PB_Status,PB_ID,Needs_Enrichment
Enhancements to the Simulation mode,,"

---
**User Feedback:**
- Lorsqu'on a plusieurs onglets ouverts dans le navigateur, ouvrir la simulation dans un nouvel onglet plutôt que dans celui à droite de l'éditeur.Actuellement : Lorsqu'on lance la simulation depuis l'éditeur, celle-ci s'ouvre dans l'onglet situé à droite de celui de l'éditeur, même si cet onglet est déjà ouvert sur une page. Ainsi, on force le changement d'url qui est remplacée par l'url de simulation.A voir si ce comportement est le même pour la perso
- It is working fine right now but it could be better!
- Client: Coop NorgeClient email: joachim.furuseth@coop.no When simulating a live campaign, it would be easier :to not show the simulated campaign in the ""other campaign on the pages""to show the campaign simulated first in the ""other campaign on the pages"" -- Marie LemaireCustomer Success Manager SeniorTel. +33 6 76 78 26 58www.kameleoon.com1251 Ave. of the Americas10020 New York
- Feedback by Yvette for AA The simulation panel blocks a good chunk of the screen, especially on mobile.Maybe the simulation panel could be made to take up less space Secondly when simulating a live test, the test appears twice on the simulation panel as well as the goals convert twice. This can be very confusing. Ideally the simulation panel should show the test only once
- Simulation: IP Geolocation shows always undefined, no matter if it is true or false.So it would be good to show the CurrentLocation from CurrentVisit instead of undefined.
- Display experiment ID on the simulation (very useful if we have several experiments running at the same time) + set up other experiments to control variation by default or add a button to set all experiments to control variation (otherwise, different variations can be displayed, and it's confusing for the customer).
- When goals are called up on an experiment but are ‘inactive’ in the BO, would it be possible to generate an error message? Otherwise, the simulation panel is not displayed (or is completely blank) without any explanation. It would be necessary to be able to warn that this is the cause of the bug in order to reactivate the goals called up. Example: an experiment that was unarchived then duplicated by Cultura and whose goals had been deactivated.
- Pain Point: In the QA I navigate my way through the site and user journeys with the help of the simulation console. With every page load, the simulation console is reset to its default state, i.e. the ""Campaigns"" tab is displayed.But I want/need to check the targeting or goal conversions in detail. To do this I switch to the “Targeting” or “Goals” tab. The tab change after page load always requires a click back to the required tab. The QA therefore consists of twice as many clicks as necessary. It's very nerve-wracking in long QAs.Solution: simulation console always stays in the same tab. Only a manual user click change can change the tab
- When I am using the Graphic Editor, and I click the Simulate button, default the variation that is automatically displayed to the variation that I'm actively working on in the editor (instead of always defaulting to Original).
- He finds the Simulation panel not reliable - they are using a cookie to QA directly on live tests He doesn't like the segment builder, he thinks that the overview is messy and impossible to understand, he is happy about the redesign and also suggests adding a url/segment tester: you can enter the url of your website and it will tell you if you're targeted or not without having to use the simulation for it
- very nice idea",In Progress,Development in progress,6786350,Yes
New account options in app,"## 💁‍♂️ Problem\/Context **Description:** As a client, I want to have access to my account options from my configuration pages and account parameters in the back office , so I can configure myself with common & simple options without having to call a consultant\. Main actions: - Migration of several options from the BO admin to the BO client, in the configuration pages and in the account parameters for super admins\. - Move some non\-touchy options from the admin BO to the customer BO, so customers will be able to configure themself without having to call a consultant\. ![](https://pb-files.s3.amazonaws.com/production/attachments/27d2c6e5a8f3120fecb1d30c34f07b903ee171e3975846586d43580fdb993e31/4A.jpg) A list of the most urgent options to migrate was determined: - Use Single Page Support - Excluded IP - Use sharp in URL - 15 min http session - Enable extended security - Maximum password attempts - IP White List - **Existing workaround:** Yes - **Workaround Description:** The client call a consultant to change his options\. **Project justification:** - **Project type:** Reduce the number of calls\/contact of clients only to change common options in their BO - **Justification:** Thanks to this feature, we can expect fewer calls than before\. Quote of Vanessa, CSM: > Some of them below would deserve to be migrated to the customer \(in terms of user comfort and flexibility for the user perhaps\): Excluded IP IP White List ## 💡 Solution - **Product package:** Full\-stack - **Product scope:** On BO : parameter of sites \(site page\), parameter of the account - **User roles**: All expect consultant \(they have access to BO admin interface\) - **Design:** This is what the solution consists in for the parameters of the account: - On the BO, you click on the new section “Customer account settings” - On the pop\-in of the client account setting, there are 3 tabs - Location tab - with 1 option : **Timezone setting**\) - Access to the account tab - With option Maximal password attempts - With option 15 min http session - With option IP white list - Password tab - With the option Enable extended security - With option Password regeneration This is what the solution consists of for the parameters of the site: - On the site page \(on admin\), A new subsection called “Advanced settings” just below the existing one “Global custom script” - Advanced characteristics: Enable support for dynamic websites \(Single Page App, Progressive Web App\.\.\.\) - Advanced characteristics: “Use the ""\#"" symbol \(instead of the default ""?""\) in all Kameleoon URL parameters” - Advanced characteristics: “Exclude certain IP addresses from the results of your experiments” ## 🎯 **Measuring Success** - **Goal 1:** Onboarding, Customers can self\-setting with their parameters on the BO - **Success metric:** time spend by consulting teams to manage client setting decreased --- ## 📄 Attached documents - **Figma file**: [https:\/\/www\.figma\.com\/file\/0LkjtZXbSATo9gBo27jE3X\/US\-8807\-\-\-Quick\-addition\-of\-options\-in\-configuration\-pages?node\-id=463%3A224](https://www.figma.com/file/0LkjtZXbSATo9gBo27jE3X/US-8807---Quick-addition-of-options-in-configuration-pages?node-id=463%253A224) - **Spec file**: - **Redmine ticket**:","

---
**User Feedback:**
- Add IP Excludes in Backoffice, so customers could do changes by their own.",Complete,Released,6786351,No
Advanced tools page redesign and migration,"- Creation of two different pages: one for custom data, another for the other tools - Pages based on others dashboard pages, with a filter sidebar\. ![](https://pb-files.s3.amazonaws.com/production/attachments/e261c8af3e5637e23c05ea916306d5ca71fea3424e3db957f6972205a4803dcf/13A.jpg) - Migration of all elements \(popups, creation steps, etc\)","

---
**User Feedback:**
- For BPCE it would be amazing they have more than 4000 custom data across all sites",Complete,Released,6786352,No
Team Page - Redesign back and front of the page,"New app design & automation API in front - Removal of ""iframe"" technics - Design of the page similar to other dashboard pages (filter sidebar) - Usage of our Automation API"" ![](https://pb-files.s3.amazonaws.com/production/attachments/3aee96b075546fda3e0d5d161cb6479509b44838865fe087c6b1aa39c045f5a4/3A.jpg)",,Complete,Released,6786353,No
Configurable columns on Web experiment and Personalization dashboards,"## 💁‍♂️ Problem\/Context - **Description:** As I user I would to have access to a customizable view of my dashboard in the BO client so I can have access only to sections that interesting me - **Existing workaround:** Yes - **Workaround description:** The client can consult sections is interesting in manually **Project justification:** - **Project type:** to fill in *\(refer to PDB Template \- slide 9\)* - **Justification:** Requested capability on existing customers ## 💡 Solution - **Product package:** Full stack - **Product scope:** The operation is the same on all pages \(A\/B tests, Perso, Segments, Goals, Websites\)\. - **User roles**: all - **Design:** For one dashboard - Fist on the right sidebar next to filter a tab will be present: “columns “\. With this new functionality “Columns”, users can customize their dashboards : they can choose which columns they want to display\. ![](https://pb-files.s3.amazonaws.com/production/attachments/ddf16368ce7bdfb49a77eea904f39134f481a0e3dbe5da1684f8c8d3d930f164/Capture_d_ecran_2022-07-25_a_17.26.56.png) To custom the view by default, there will be a wheel icon to acces to parameter ![](https://pb-files.s3.amazonaws.com/production/attachments/c4d6c59312081b4cf40bc3674063b233efdbf62b88625e227f0a8679f9699b62/Capture_d_ecran_2022-07-25_a_17.28.09.png) - There will be elements displayed by default: - Name - Type - Status - Modified - Tag - and elements not displayed by default - Author - Created - Website\/project - Main goal - Online - Results exploitability With a checkbox system, user can select element he want to be displayed or not ![](https://pb-files.s3.amazonaws.com/production/attachments/2ba3a0ae90ba55c7e6f11845dd3657f65f1ee7e951e4488a5b129ec55f5231bb/Capture_d_ecran_2022-07-25_a_17.31.43.png) ## 🎯 **Measuring Success** - **Goal 1:** Retenion: adress critical user pain points - **Success metric:** Allow user to easily customize their dashboard view\. - **Success metric:** Save user time with adapted view they can use to have access to only relevant informations - **Goal 2:** Satisfaction - **Success metric:** Save user time with adapted view they can use to have access to only relevant informations --- ## 📄 Attached documents - **Figma file**: none \(visual specs [here](https://docs.google.com/presentation/d/1nCb_vuwg7Uc4MZ1D82z-MfF0oVmNLlPALRVrMAn6RCw/edit?usp=sharing)\) - **Spec file**: [Link](https://docs.google.com/document/d/1nUz22a5S4obOQtWgXlLk-SGUWPlxtalTKTQonPzKHN8/edit?usp=sharing) - **Redmine tickect:** in progress","

---
**User Feedback:**
- Asked by BPCE. Not all columns are relevant to each user.
- Display the IDs of the goals directly on the list.
- It will help me to look at what I think is important to get an easy overview of. Willl help to find the correct experiment when looking at the table",Complete,Released,6786355,No
Multiple Organizations per User,"## 📒 **Feature short description:** The goal is to provide features to our solution partners that are managing Kameleoon for their clients\. User story \#35577 \- Multiple Organizations per User ## 😥 Problem **Problem statement:** Solutions partners need a scalable way to access and manage multiple customers\. **Workaround:** - **Existing workaround:** Yes - **Workaround description:** Creating a specific user on each customer's account and login to this specific user each time they have to work for the client\. Context : - Ability to switch very easily from one account to another one \(via the header\) from the same e\-mail address - Some customers have many independent entities \(for example BPCE : BPCE, Natixis, Printemps : Citadium, Fashion 3, Place des tendances\)\. Currently we have to create one customer for each entity, and users with different email addresses for each entity as well\. The goal of this US is to add the possibility to manage customer's entities and associated users\. After login a user should be able to choose the entity he want to login to, and then in app he also should be able to switch between entities\. We need to do a research about this task first to know what exactly needs to be done \(backend, frontend, access management, administration\) User story \#35577 \- Multiple Organizations per User","

---
**User Feedback:**
- interesting if you have multiple accounts for agency
- Multi Accounts e.g. for agenciesnschmidt@kameleoon.comsebastianb@trkkn.com =&gt; already have an accountbut should be also enabled on this account:Login: Simon Reuvers message from Natalie Schairer:Case: They want to add following User to their account: It is not possible because he is added to another account. Because we got more and more constructs like this we need an opportunity to add one customer to different accounts. Looking forward to your feedback how this would be possible.Thx for the feedback!
- Because we are working with partner agencies (partner contracts) it is necessary to work with one e-mail for different customers. We got trouble therefore with Luisa Cerano, Flightright, Lexoffice, Trkkn",In Progress,Development in progress,6786356,No
"Custom analytics integration tool + addition of tech integrations (Zapier, Chrome extension, GIT..)",- Creation of a generic integration. It will be a framework (with a zone with code to paste) to add specific integrations. ![](https://pb-files.s3.amazonaws.com/production/attachments/3c84fca541e947b96b62fe8d68ee44f18dd3bae3588b7bc12e5c9bbd1aa56e02/15A.jpg),,Complete,Released,6786357,No
New page for cross-campaigns performance comparison,"- New page added on ""Explore"" menu. User can can choose the KPI of his choice and we list all experiements linked to this KPI, with their performance. Average performance is also provided. ![](https://pb-files.s3.amazonaws.com/production/attachments/cb39e385f2580819d741779713e09902ff7c241d60051a4f90f7c61eb8f57af2/22A.jpg)","

---
**User Feedback:**
- Hello The product Team, I have a client that want to create weekly, monthly, 6-month and 1-year reports on the tests launched during these periods. The main objective being to realize the performance of the tests through ""simple"" dashboards which would allow to compare conversions in current week vs week S-1, current month vs month m-1 ... Currently we go through pivot tables but which require exporting via the KAM results page. Copy / paste the data into another file with all the periods and then do the analysis.What is needed is to give the client the possibility of making an export by selecting several tests, by splitting by week, month etc. and then to be able to make the template in ""pivot tables"" mode or a bit like on GA and that the data is updated if the customer wishes a daily export for example.If you want I can show you an example of my client files. It's an important request and if you can help me to gain time it would be wonderful. Do not hesitate to slack me if you want talk face-to-face on the subject.
- That would prioritizing the dev of wining XP's
- Problem: The key information block in the Audience modul presents data about the performance of your experiment program for the last 12 months. The date range isn't adjustable. The formulas are perfectly suitable for justifying the tool fees in management or to take them into consideration for the ROI calculation. However it would be necessary to set an adjustable time period for this, rather than a fixed 12 months. Solution: Use a date range setting for the key information block. There are plenty of examples in the tool, e.g. from the new Result page or from the list view in the Audience module below.
- The customer requests such reports from the CSM, which builds them manually. These are of course very static and difficult to standardize. The customer wants such an overview.
- Create the alert for decreasing average cartThe idea is to create the alert for decreasing average cart with high reliability 95%, it can help client to control the revenue decreasing, even if in general revenue has low reliability of decrease, variation still can show the revenue drop in average cart. Such update could help client to prevent revenue loss.",Planned,Planned,6786358,No
Detecting and filtering outliers,"- New option in our internal BO to get rid of ""trash data"" - Extreme values that seems strange - Some days to remove in e\-commerce - Some customers wants to differentiate their B2C and B2B orders, as B2B orders are huge but few\. They want to be able to only see B2C orders \(might need to be implemented elsewhere than this feature\)","

---
**User Feedback:**
- hell yes!
- Yes please! We recently have two US prospects asking about this feature and that could be a very powerful argument against other vendors!
- Great for US customers!
- important for prospects
- It's important to exclude these values when e-commerce activity is centered essentially on B2C and marginally on B2B.In our case, B2B brings in few orders, but with very high amounts (x10-x100) compared to the B2C average.We don't want professional orders to influence B2C behavior
- There are a lot of outlier days we have (especially in ecom) - this is a differentiator for the tool to be able to automatically remove outliers
- Outliners distort the results of a test and a clean data line would improve the result",Complete,Released,6786359,No
Visitor Data Model,"Fix of our current visitor data model, to be implemented on: - experiments - personalizations Release is In progress: - Jan 1, 2022: German customers - Feb 1, 2022: French, UK, Russian, Nordics customers - Feb 14, 2022: North America customers and LIDL",,Complete,Released,6786385,No
Platform redesign,"- New dashboards (A/B / Perso / Goals / Segment) - New design system - New features (filter, views) - Responsive ![](https://pb-files.s3.amazonaws.com/production/attachments/f92dd854ee7676e970554ef71bb6127c5cae5ecce9a8c5bac790a8935260291f/1B.jpg)","

---
**User Feedback:**
- Automatically generate a downloadable excel with all test or personalizations with some basic info like name, description, status, start and end date, tag, segment used...
- I would like to be able to see tests, goals etc. in list view. In tile view most of the titles are cut off.
- I would like to be able to set certain filters as default for my personal account. That way I wouldn't have to filter the same things every time I log in.
- Hello,possible de rajouter le ft d'ouvrir dans un nouvel onglet (CTRL + click) sur les cta dans partie projet svp :https://app.kameleoon.com/projects/dashboardCTRL + click sur : Editer / Configuration / Installation ect ...Possible de rajouter dans le tooltip (hover) ""?"" : l'ID du projetMême demande sur le dahsboard des widgets, afficher l'ID du widget au hover sur ""i""merci :)
- When duplicating (no matter if custom data, experiment or goal) there is no chance to search of a project, only to choose out of the list. If a client has many projects, it would be great to have a search option as we do, when for example creating a new goal/ custom data",Complete,Released,6786814,No
New SDKs,- Ruby - Go - Python,,Complete,Released,7281799,Yes
GO SDK,,,Complete,Released,7281800,Yes
Ruby,,,Complete,Released,7281801,Yes
Python SDK,,,Complete,Released,7281803,Yes
Enhancement of selection of goals on Creation Page,"On the creation page of a personalization, in the ""Goal Section"", all the selected objectives are not very visible\. **Suggestion:** - add a summary of the selected goals like in the A\/B module - display the checked goals at the top of the selection list so that they are more easily identifiable\. When you have many objectives in the BO, this list can be very long\!","

---
**User Feedback:**
- Retour remonté par Johanna Brasseur de CegidSur la page de configuration de la perso, dans la partie objectifs, l'ensemble des objectifs sélectionnés ne sont pas très visibles. Suggestion :- ajouter un récapitulatif des objectifs sélectionnés comme dans le module d'A/B- afficher les objectifs cochés en haut de la liste de sélection afin qu'ils soient plus facilement identifiables. Lorsqu'on a de nombreux objectifs dans le BO, cette liste peut être très longue !
- Less waste of time :)
- It is a total mess for now, so anything more user friendly would be perfect
- It can be really hard to see what goals are selected and also browser between the goal you need.As a consultant I already find it hard, I imagine it's even harder for clients.
- I frequently wish I could see the selected goals right from the start as our goal list won't become shorter.
- Too complicated to check goals. Very important to have a clear vision of the overall configuration
- important
- Cegid did this feature request, and it's one of my client ;)
- Must have ! We spend too much time scrolling into a small window",Planned,Candidate,7297967,No
Enhancement of scenarisation field on Creation Page,"On the creation page of a personalization, in the scenario section, the search for a personalization (to build a scenario) is not obvious. Especially beacuse all the personalizations are displayed in the list (not only the ones online). **Suggestions :** - enlarge the drop-down menu - add a search field - only display online personalization in the list","

---
**User Feedback:**
- Retour remonté par Johanna Brasseur de CegidSur la page de config de la perso, dans la partie scénarisation, la recherche d'une personnalisation (pour construire un scénario) n'est pas évidente lorsqu'on a plusieurs perso créées dans le BO. D'autant que toutes les perso sont affichées dans la liste (pas seulement celles en ligne).Suggestions :- agrandir le menu déroulant- ajouter un champ de recherche
- Nice to have a more easy and intuitive way to configure this option.
- Ain't nobody got time for this
- Another client explained that it was not easy to do",Planned,Candidate,7298003,No
Traffic reallocation option everywhere,"We currently get complete trafic reallocation options from our A\/B testing visual editor\. Yet, those option are not available from our backoffice\. **Suggestion:** Display the traffic reallocation options in the reporting page and backoffice code editor","

---
**User Feedback:**
- Afficher l'option de réallocation du trafic dans la page de reporting et l'éditeur de code
- It is a hidden feature but structuring one regarding the result analysis. That would avoid a lot of misunderstanding with customers
- It's good to be able to see this option that is well hidden right now!
- Déjà peu connu des utilisateurs, il est difficile, en plus, de le trouver. Le sujet revient souvent
- Very important to have this option in code editor :)
- I had a lot of problems in the past with trafic reallocation
- Trafic reallocation is quite often used. Since it is not available from our backoffice, the reallocation could directly be made from the code editor which does not offer the possibility of keeping visitors who were affected to a variation before the reallocation in the same one afterwards. Thus, results could be falsified.
- Pour limiter les erreurs
- We use it a lot for clients with limited ressources and that cannot integrate the changes quickly.",Planned,Candidate,7298088,No
New targeting condition by Internet Service Provider,"**Suggestion:** Add a new targeting condition allowing to target visitors based on their ISP (Internet Service Provider). This information is actually available on the geolocation module, but currently not being made public or usable in any way. Consgtar would like to use it within their Segments to exclude certain visitors from their own ISP.","

---
**User Feedback:**
- Congstar would like to target visitors based on their ISP (Internet Service Provider). This information is actually available on the geolocation module, but currently not being made public or usable in any way. Consgtar would like to use it within their Segments to exclude certain visitors from their own ISP.
- This would be great to have! :-)
- That would very nice to have and very easy to configure",Under Review,New idea,7407146,No
Zapier integration,"**Suggestion:** On the integration page, add a native integration with Zapier. It will help connecting with CRM tools such as Microsoft Dynamics","

---
**User Feedback:**
- Integration avec Zapier : Cela faciliterait les intégrations avec d'autres solutions et notamment les CRM comme Microsoft Dynamics
- Common tool . Nice to have
- Zapier is very popular to instantly and easily integrate with other tools, so on top of providing useful integrations it would provide visibility to Kam
- Very good idea
- Connexion avec de nombreuses apps
- It will open a word of possibilities!",Complete,Released,7407308,No
