Title,Details,Status,Tags,Category
Detecting and filtering outliers,"New option in our internal Back-office to get rid of ""trash data"" - Extreme values that seems strange - Some days to remove in e-commerce - Some customers wants to differentiate their B2C and B2B orders, as B2B orders are huge but few. They want to be able to only see B2C orders \(might need to be implemented elsewhere than this feature\) hell yes! Yes please! We recently have two US prospects asking about this feature and that could be a very powerful argument against other vendors! Great for US customers! important for prospects It's important to exclude these values when e-commerce activity is centered essentially on B2C and marginally on B2B.In our case, B2B brings in few orders, but with very high amounts (x10-x100) compared to the B2C average.We don't want professional orders to influence B2C behavior There are a lot of outlier days we have (especially in ecom) - this is a differentiator for the tool to be able to automatically remove outliers Outliners distort the results of a test and a clean data line would improve the result",Complete,Squad Data,Roadmap
Visitor Data Model,"Fix of our current visitor data model, to be implemented on: - experiments - personalizations Release is In progress: - Jan 1, 2022: German customers - Feb 1, 2022: French, UK, Russian, Nordics customers - Feb 14, 2022: North America customers and LIDL",Complete,Squad Data,Roadmap
Platform redesign,"New dashboards (A/B / Perso / Goals / Segment) - New design system - New features (filter, views) - Responsive ![](https://pb-files.s3.amazonaws.com/production/attachments/f92dd854ee7676e970554ef71bb6127c5cae5ecce9a8c5bac790a8935260291f/1B.jpg) Automatically generate a downloadable excel with all test or personalizations with some basic info like name, description, status, start and end date, tag, segment used... I would like to be able to see tests, goals etc. in list view. In tile view most of the titles are cut off. I would like to be able to set certain filters as default for my personal account. That way I wouldn't have to filter the same things every time I log in. Hello,possible de rajouter le ft d'ouvrir dans un nouvel onglet (CTRL + click) sur les cta dans partie projet svp :https://app.kameleoon.com/projects/dashboardCTRL + click sur : Editer / Configuration / Installation ect ...Possible de rajouter dans le tooltip (hover) ""?"" : l'ID du projetMême demande sur le dahsboard des widgets, afficher l'ID du widget au hover sur ""i""merci :) When duplicating (no matter if custom data, experiment or goal) there is no chance to search of a project, only to choose out of the list. If a client has many projects, it would be great to have a search option as we do, when for example creating a new goal/ custom data",Complete,Squad Interfaces,Roadmap
New SDKs,Ruby - Go - Python GO SDK: Ruby: Python SDK: JS SDK: Flutter: React SDK:,Complete,Squad FM&E,Roadmap
Traffic reallocation option everywhere,"We currently get complete trafic reallocation options from our A\/B testing visual editor. Yet, those option are not available from our backoffice. **Suggestion:** Display the traffic reallocation options in the reporting page and backoffice code editor Afficher l'option de réallocation du trafic dans la page de reporting et l'éditeur de code It is a hidden feature but structuring one regarding the result analysis. That would avoid a lot of misunderstanding with customers It's good to be able to see this option that is well hidden right now! Déjà peu connu des utilisateurs, il est difficile, en plus, de le trouver. Le sujet revient souvent Very important to have this option in code editor :) I had a lot of problems in the past with trafic reallocation Trafic reallocation is quite often used. Since it is not available from our backoffice, the reallocation could directly be made from the code editor which does not offer the possibility of keeping visitors who were affected to a variation before the reallocation in the same one afterwards. Thus, results could be falsified. Pour limiter les erreurs We use it a lot for clients with limited ressources and that cannot integrate the changes quickly.",Under Review,Squad Dev Tools,Roadmap
New targeting condition by Internet Service Provider,"**Suggestion:** Add a new targeting condition allowing to target visitors based on their ISP (Internet Service Provider). This information is actually available on the geolocation module, but currently not being made public or usable in any way. Consgtar would like to use it within their Segments to exclude certain visitors from their own ISP. Congstar would like to target visitors based on their ISP (Internet Service Provider). This information is actually available on the geolocation module, but currently not being made public or usable in any way. Consgtar would like to use it within their Segments to exclude certain visitors from their own ISP. This would be great to have! :-) That would very nice to have and very easy to configure",Open,,Roadmap
Zapier integration,"**Suggestion:** On the integration page, add a native integration with Zapier. It will help connecting with CRM tools such as Microsoft Dynamics Integration avec Zapier : Cela faciliterait les intégrations avec d'autres solutions et notamment les CRM comme Microsoft Dynamics Common tool . Nice to have Zapier is very popular to instantly and easily integrate with other tools, so on top of providing useful integrations it would provide visibility to Kam Very good idea Connexion avec de nombreuses apps It will open a word of possibilities!",Complete,Squad Dev Tools,Roadmap
Responsive Graphic Editor,"## Problem\/Context As a user of the graphical editor, when using it on a mobile device, I don't have full access to all the elements of the graphical editor - **Existing workaround:** No **Project justification:** - **Project type:** Improvement to existing workflow - **Justification:** We can lose a major client if the graphic editor is not responsive ## Solution - **Product package:** A\/B Testing - **Product scope:** - Graphic editor, burger icon Graphic editor, history panel Graphic editor, CSS selector panel Graphic editor, édition panel Graphic editor, header Graphic editor, popin Graphic editor, loading screen - Product section and pages that will evolve \(on the contrary, you can specify what is out of scope\): On the app, we want to create a dedicated section on the app for finalization menu - **User roles**: all - **Design:** Explain with bullet points what your solution consist in \(make it synthetic\) - For loading screen and popin : we want to make them responsive - The header: - The header is responsive - Creation of a drop down system to have access to variations, original version and variations cta \(to have access to those information on the vertical way and use space on the header for other CTAs\) - Creation of a drop down button for edition mode and simulation at the right side of the header - Replacement the drop-down finalize by next button that give access to a dedicate finalize menu on the app - The edition panel: - Rework of the panel reduction system - Adaptation the panel size - The CSS selector panel: - Creation of a default emplacement for the panel - Adaptation the panel size - The history panel - Creation of a default emplacement for the panel - Adaptation the panel size - The burger icon: - Adaptation of element of the burger icon - Delation of elements non useful for graphic editor use ## **Measuring Success** - **Goal 1:** Engagement - **Success metric:** Nb of use of the graphic editor on a screen size \/ month - **Goal 2:** Satisfaction - **Success metric:** NPS of graphic editor users --- ##",Complete,Squad Interfaces,Roadmap
New targeting condition by AT Internet Segment,"We currently get a native integration with AT Internet : tests results are automatically pushed to AT Internet, which is useful for clients who want to analyze results on AT Internet. **Suggestion:** AT Internet has just released a new API that could allow us to target in real time a visitor based on the AT Internet Segment he belongs. This is something we currently propose for Ysance tool for example. ---------- Forwarded message ---------De : Géric Fossé | AT Internet &lt;geric.fosse@atinternet.com&gt;Date: ven. 19 mars 2021 à 16:33Subject: Intégration | Nouvelle fonctionnalité AXON ConverterTo: Fabien Dimeglio &lt;fdimeglio@kameleoon.com&gt;Salut Fabien, Jespère que tu vas bien ! Je te contacte au sujet dune nouvelle fonctionnalités que nous sommes en train de finaliser avec léquipe Data Science. Ce projet est actuellement en POC internet et je souhaiterais voir si nous pouvons en profiter pour enrichir notre intégration actuelle. Cette fonctionnalité porte le nom dAXON CONNECT. Concrètement il sagit dune nouvelle API qui permet de voir en temps réel à quel segment AT Internet appartient un utilisateur. Cette API peut retour un ID utilisateur, un ID custom et toutes autres données souhaitées (et présentes dans AT Internet). Tu trouveras en pièce jointe quelques slides concernant cette fonctionnalité. Nos utilisateurs communs pourraient activer leurs segments AT Internet dans votre outil via cette solution (personnalisation de lUX, AB Test). Nous sommes disponibles si vous souhaitez étudier cette feature et voir comment optimiser notre intégration. On peut planifier un call si besoin ! Merci,Bonne fin de semaine, Géric FosséTechnology Partner Manager85 Avenue John Fitzgerald Kennedy, 33700 Mérignac, FranceT.+33 6 64 99 13 57 geric.fosse@atinternet.comwww.atinternet.com - Digital Intelligence Solutions -- Fabien Dimeglio Head of Product Tel. +33 6 62 18 44 86www.kameleoon.com12, rue de la Chaussée d'Antin - 75009 Paris, FranceVANCOUVER | LONDON | BERLIN | PARIS | MILAN | MOSCOW | OFFENBURG Garanti sans virus. www.avast.com Always better to get information like this. Two way communication for native integration can help value other integration and therefore the client can also value Kameleoon as part of their ecosystem. That would be wonderful. This would help in having less issues with data between the two entities",Open,,Roadmap
Shopify app,"Official Kameleoon Shopify app to ease the process of implementing Kameleoon on shopify plus stores (snippet, tracking, product feed). Shopify App V1: V1 will allow us to be visible on Shopify marketplace as a Shopify native App. It will ease the process of implementing Kameleoon on shopify plus stores (snippet installation). The customer will only need to indicate his Kameleoon sitecode. Shopify App V2: This V2 will allow automatic tracking of e-commerce transactions + all product related actions (add to cart, view, purchase, etc.) in Kameleoon.",Complete,Squad Dev Tools,Roadmap
Chrome extension redesign + Performance analysis,"[The newest version of our Chrome extension](https://chrome.google.com/webstore/detail/kameleoon/nimncjjomfcjmfnghgaopccmdggjfoam) helps developers further with their daily development workflow. Get a live list of all campaigns and quickly access any technical details, troubleshoot performance issues with a brand new Performance analysis center, and more, all without leaving your favorite browser.",Complete,Squad Dev Tools,Roadmap
"Google Analytics Segment bridge (custom, beta mode)",This feature will enable our customers to use their Google Analytics Segments to create highly personalized campaigns in Kameleoon.,Complete,Squad Dev Tools,Roadmap
Segment.io Destination bridge,"With this Segment x Kameleoon integration, every tracking call that is triggered by Segment will be automatically collected by Kameleoon as a KPI conversion, saving developers from having to re-implement an existing Segment Tracking plan in Kameleoon.",Complete,Squad Dev Tools,Roadmap
Kameleoon Github account,Addition of a Kameleoon GITHUB account with pre-defined piece of code for the main analytics platforms. This library can then be used by our customers to create custom analytics bridges in Kameleoon.,Complete,Squad Dev Tools,Roadmap
New Feature Flag page + Dashboard,Redesign the Feature Flag creation / edit page from scratch. Addition of the Scheduling Feature (required by Providence). Keep the Providence account.,Complete,Squad FM&E,Roadmap
New targeting condition by Campaign,Add a new targeting condition to include or exclude visitors who have been already been exposed or not by another experiment or personalization.,Complete,Squad Perso,Roadmap
Onboarding / Get Started Journeys,"**in-app flow / checklist to guide new users to setup their account (snippet installation, main KPI, experiment..)** - **Improve translation quality for our main pages (do we use the right wording for an action)**",Complete,Squad Interfaces,Roadmap
Stop collection of data,"New feature on the results pages (for experiments and personalizations) to allow users to stop the data collection of a running campaign. The campaign will run, but the data will no longer be sent to the results pages.",Complete,Squad Data,Roadmap
Spider chart updates,"Addition of the confidence rate in the graph ""Comparative view"", on the experiments' results pages",Complete,Squad Data,Roadmap
Package Server-Side,"## Problem/Context As a developer, when I use only users server-side I want an efficient package only for the server-side so I can create my server-side experiments - **Existing workaround:** Yes - **Workaround yes but the wording is not correct (site instead of the project), and some actions of finalization are not optimized for code-based experiments but more graphic editor based **Project justification:** - **Project type:** Allows the dev user to only create server-side campaigns without having access to a graphic editor (the long term goal is to be able to sell package server-side independently form others) - Details [here](https://docs.google.com/presentation/d/1j8fHQ6zAuXYEKmQYfiIvp0Q9ZbaPNx56MLf2pNfUk1Q/edit#slide=id.p28) - **Justification:** We lose a client who didn't want to pay for everything while he needed only the package-serve side ## Solution - **Product package:** Creation of a dedicated package for Full-Stack App (server-side only). - **Product scope:** - *Experiment & setting mostly* - Site dashboard/pop in new site/Setting site page/ Advanced tool page/ Integration page - Experiment: create a new project / create a new experiment/ Experiments dashboard/ sdk code editor/ Hybrid code editor/ segment builder - Configure: segment dashboard/ goals dashboard - **User roles**: Client (developer ) - Package/admin: ""activate A/B testing"" - Package/admin: FM&E only - Package/admin: ""activate A/B testing"" & ""feature management & experimentation"" - **Design:** - Removal of the graphic / JS/CSS code editor options - Specific setup page : SDK implementation + Simple JS Snippet if Hybrid - Removal of all web related actions in the App (KPIs, Custom Data, Site becomes Project ) ## **Measuring Success** - **Goal 1:** Onboarding - **Success metric:** Rate of clients creating server-side experiment - **Goal 2:** Satisfaction - **Success metric:** NPS client on package server-side only --- ##",Complete,Squad Interfaces,Roadmap
Guided Onboarding Experience,Guide and educate our users to key features of the FME v2 product \(using Appcues\). [Embedded content](https://miro.com/app/live-embed/uXjVMegOjGw=/?embedMode=view_only_without_ui),Complete,Squad FM&E,Roadmap
Free developer package,"# Problem/Context ## **Description** Provides (as our competitors do) limiting package for developers who want to trial / use Kameleoon Feature flags + code editor for web ## Workaround No ## **Project justification** **Project type** New product concept or workflow **Justification** Apparently, our competitors do it. # Solution **Package** NA **Scope** NA **User roles** Technical **Design** NA # **Measuring Success** **Goal 1** Involving more developers into experiencing the app. **Success metric** Number of people using the free package. --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link)",Open,Squad FM&E,Roadmap
Real-time update Listener,Allows our customer to subscribe to listener to have real-time updates of SDK / Experiment / Feature Flag configuration,Closed,Squad FM&E,Roadmap
Data bridge for FM&E,"Allow to use segments for external tools such as Mixpanel, GA, Segment.. from SDK-based experiments and Feature Flags.",Complete,Squad FM&E,Roadmap
Timeline for Feature Flags & Experimentation,Step by step adding new events to the timeline. Addition of Events related to the Full-Stack offer in the Timeline Access to a timeline of events dedicated to feature flagging,Planned,,Roadmap
Feature Flag : Alerts (KPI based),Allow to create alerts for Feature Flags based on KPI rules to help our customers: - rollback Features which have an impact on business KPIs or app performance - be reminded about the activation of a planned event,Open,Squad FM&E,Roadmap
Simple adaptation of our report page to Feature Flag,Remove everything related to web experiments from our Reporting page.,Open,Squad FM&E,Roadmap
New experiment creation flow,"Adapt our existing popin to create an experiment with the right wording for all kind of use cases: Graphic based experiment (A/B/n or MVT), code based experiment, SDK based experiment (server-side, client-side or app SDK)",Complete,Squad Interfaces,Roadmap
Product recommendation solution more integrated to Kameleoon,"Quick adaptation of the look and feel of the Rees Back-office dashboard to Kameleoon's graphical charter. - Sidebar color will be updated (see attached) - Font will be updated, but they can set only 1 font in the platform for all elements =\> Change for Roboto - 'Search engine' can't be removed, because it's hard coded and depends on the WL platform configuration. - Auto login from Kam app - Addition of a ""recommandation"" section in the menu (for users who subscribed to Recommendation module only)",Complete,Squad Perso,Roadmap
Oauth Page / Automation API Credentials,"Currently, you should ask your Kameleoon Customer Account Manager to provide you with client_id and client_secret. These credentials are associated with a Kameleoon account (ie, email adress) and will be able to use the authorizations (rights) defined for this account. This feature released, an interface will be added directly on the Kameleoon application (My profile page) to obtain and manage your API credentials. You will be able to renew your client_secret via the interface as well.",Complete,Squad Dev Tools,Roadmap
