Title,Details,Status,Tags,Category,StateTag
AI-powered opportunity finder,"It will certainly be very interesting to have such notifications based on AI.

---

Good

---

Helps targeting groups and optimizing campaigns

---

Saves time and increases chance to find an improvement

---

It would be interesting to see if there are segments with opportunities

---

To get better results.

---

Especially in the case of inconclusive positive tests the evaluation and search for reasons takes an extremely long time. Pointing out atypical outbreaks would be very helpful.

---

To get more out of the data, this would be really helpful! Right now there are too many possibilities you can look for. If an AI would find those, that'd be incredible.

---

It would be easier to find the issue.",Open,"Aggregated Topic, Ex owner: Tribe Marketers, Q4 2022, App System, Unprocessed",Build,Unprocessed
AND/OR operators for Events & Actions in the Widget Studio,"Pain point: there are always widgets where it would be necessary to link several events together, which then trigger an action. For example as a provider of a domain with several languages, it's necessary to query the browser language or the URL parameter with the reference to the language, e.g. .ch/fr. At this moment I can only assign one or several actions to this event. But I also want to query for the event ""click on element"" to trigger a specific goal conversion.
Solution: In the Segment Builder it's possible to link several conditions using AND/OR operators. This enables the construction of more complex logics. Such a setup for Events & Actions in the Widget Studio would also be helpful. Several actions can already be assigned to an event with the logic of an “AND” operator.",Open,"_⭐ Studio Squad, Ex owner: Lily from Kameleoon, Q1 2025, Visual Builders, Processed",Build,Processed
AOV significance in result pages,"POC with Kameleoon. The datascientist asked for this :  ""Crucial to calculate any AOV significance.  As I mentioned, we are in need of those Revenue based metrics statsig calculations, so before making any final statements, we need to be sure that this part can be provided by Kam""",Open,"_⭐ Reporting Squad, Ex owner: Calixthe Mattei, Q3 2023, Data & Governance, Processed",Analyze,Processed
API Code run RWEP continuously,"In a context of website with Rerender code:    Kameleoon RWEP function is executed only once, after the CSS selector has been found in the DOM tree.   This is not OK when a website create and delete the HTML continuously has it is on recent framework such has REACT.   A good evolution would be to add a option in the RWEP function to run the code continuously    Basically, with existing RWEP function, we have this function to make it work that way :  const dynamicRWEP = (selector, callback, ) => {
    Kameleoon.API.Core.runWhenElementPresent(selector,(elements) => {
        elements.forEach(element => {
            element.classList.add('kameleoonRWEP1234');
        })
        //My Callback
        elements.forEach(element => {
            console.log(""Play RWEP"");
        })
        //End of my callback
        //Relaunch of the RWEP for new elements
        //Invisible with the evolution parameter ""dynamicRefresh=true""
        dynamicRWEP();
    })
}",Open,"Ex owner: Vincent Taldir, Q4 2023, Core Techno, Processed",Set up,Processed
API Feature Request Programmatic Access Feature Flag,"API Feature Request: Programmatic Access to Feature Flag / Experiment Activity Log
User Story:
As an API user, I want to retrieve the full historical activity log for each feature flag and experiment, including events like 'paused', 'resumed', 'archived', and changes to traffic allocation.
Business Value & Use Case:
The excellent ""Activity Log"" feature is currently available in the Kameleoon UI, but this data is not exposed through the public API. Programmatic access to this log would unlock several key capabilities for us:
Automated Auditing & Compliance: For compliance and incident review, we need to maintain a programmatic record of when experiments are activated or deactivated in our production environment.
Real-time Alerting: We want to build automations that trigger alerts in our internal systems (like Slack or PagerDuty) whenever the state of a critical feature flag is changed.
Performance Correlation: Access to these event timestamps would allow us to automatically correlate experiment pause/resume events with our internal performance metrics (e.g., site latency, error rates) to quickly understand the impact of any changes.
Currently, the API only provides the dateModified timestamp, which doesn't specify what changed. This requires us to perform manual checks in the UI, which is not scalable for our monitoring and auditing needs.
Suggested Solution:
A potential solution could be a new endpoint, for example: GET /feature-flags/{featureKey}/activity-log.
This endpoint could return a list of event objects, each containing details like the timestamp, the user who made the change, the action performed (e.g., 'paused_rollout_rule'), and any relevant details.
Exposing this data via the API would significantly enhance our ability to integrate Kameleoon into our automated DevOps and compliance workflows.",Open,"new idea, critical, Ex owner: nan, Q3 2025, Core Techno, Unprocessed",Set up,Unprocessed
API Key credentials per client project rather,"API Key / credentials per client or project rather than  per user for feature experimentation.
The client has to push its app to google cloud and would rather have client/project credentials rather than user based credentials.
Henrymeds during Kick off phase",Open,"_⭐ Admin & Engine Squad, 🙂 Dev Tools Squad, new idea, critical, Ex owner: Yassin Hassan, Q4 2023, Core Techno, Processed",Set up,Processed
API credentials Coop Norge,"Issue/request : my client re-generate API credentials and the old one was disable. Client: Coop NorgeClient email: joachim.furuseth@coop.no /  jesper.norr@avensia.com
Feedback from clients : Hiding the secret is goodIf generating credentials removes the old one, it need to be really clear that integrations might stop workingIt seem strange that the credential is connected to the user instead of the application (might be a reason for this). But if Joachim's account is closed, then we will be in the same situation again where credentials stop working, I assumeIf we want to use different credentials in production and stage, as we usually want since staging credential might need to be shared more freely, we need to profilesIf we want different credentials for different application and even different teams in coop, we need X profiles to generate that (this is not unusual in coop)Most integrations I've done, where we need to generate credentials, I've been able to generate lists of credentials where if I forget the secret or need a new one to another team, I can just generate that and keep using the old one.Request:API credentials per client account (and not by users) only accessible to Super Admins Do not disable former credentials or add an alert that warns the client Dmitry probably provided a similar feedback for the same client
Thanks--
Marie LemaireSenior Customer Success ManagerTel. +33 6 76 78 26 58www.kameleoon.comLynton House L7-12 Tavistock SquareWC1H 9LT London",Open,"_⭐ Admin & Engine Squad, Ex owner: Yassin Hassan, Q3 2024, Core Techno, Processed",Set up,Processed
AT Internet integration - Target visitor based on AT segment,"Always better to get information like this.

---

Two way communication for native integration can help value other integration and therefore the client can also value Kameleoon as part of their ecosystem.

---

That would be wonderful. This would help in having less issues with data between the two entities",Open,"Aggregated Topic, Ex owner: Tribe Developer, Ex owner: Tribe Marketers, Q1 2021, Integrations, Processed",Set up,Processed
Ability add multiple widgets single page graphics,The ability to add multiple widgets to a single page in the graphics editor. The limit is currently set at 1. The customer may need to rework several elements of a page (and not be able to use the site hierarchy to make modifications directly).,Open,"_⭐ Studio Squad, new idea, important, Ex owner: Lily from Kameleoon, Q2 2025, Visual Builders, Processed",Build,Processed
Ability create natively page access goals based,Ability to create (natively) page access goals based on css selectors rather than urls,Open,"new idea, important, Ex owner: Calixthe Mattei, Q1 2025, Processed",General,Processed
Ability insert several widgets graphic editor,"Ability to insert several widgets in the graphic editor. I have a widget with 2 different screens but I can't change the position for all of them. Having the possibility to insert 2 widgets will save this issue, one will replace an existing element and the other will be above the page.",Open,"_⭐ Campaign Creation Squad, _⭐ Studio Squad, new idea, important, Ex owner: Lily from Kameleoon, Q4 2024, Visual Builders, Processed",Build,Processed
Ability rearrange order goals Finalize step setting,"Ability to rearrange the order of goals in the Finalize step, when setting up an experiment.
The rearrange functionality we are looking for is needed before a test is published and launched and before you have access to the results page (where this can currently be done). We would like to be able to do this during our development and QA/validation steps and to my knowledge a Results page is only available as a view once the experiment is launched.
I am specifically speaking about being able to do the goal rearranging in the Finalize step under Tracking and goals. Drag and drop or some similar ability would be great to have.
This is currently available on other testing tools during the experiment setup phase.",Open,"🙂 Interface squad, new idea, nice to have, Ex owner: Tribe Marketers, Q4 2021, Data & Governance, Processed",Analyze,Processed
Ability rename Column Dashboard,"Ability to rename Column on Dashboard
I was informed by Kameleoon that, currently, the ability of renaming columns is not a feature currently offered by Kameleoon. It would be great if such a feature would be offered since, as an example, the ""Conversion Rate"" Column lose its meaning when tracking clicks made on Search Results Pages which lead to Product Description Pages (PDPs)...having the ability to rename this Column from ""Conversion Rate"" to ""CTR"" would prevent any confusion for those who would access the Dashboard and try to interpret the rendered data",Open,"_⭐ Reporting Squad, new idea, important, Ex owner: Calixthe Mattei, Q3 2024, App System, Processed",Build,Processed
Ability to add inline property to position elements next to each other,"could be very convenient !

---

that would be really practical for pop-ins with complex structure

---

.

---

Could be useful in some cases

---

/

---

Much easier than the column-based structure

---

It will be easier for clients to create the design they want.",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q1 2022, Processed",General,Processed
Ability to add tooltips,"For forms it could be cool!

---

Just nice to have!

---

important, and possibility to put css style to it

---

.

---

Useful!

---

Can be very useful !

---

/

---

great idea

---

Would be useful when launching new features or if something is missing",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q1 2022, Processed",General,Processed
Ability to change z-index of the widgets,"Super important when inserting elements in sticky banner or other elements that could interfere with menu

---

Setting the z-index directly in the interface is essential, if not mandatory, to ensure that teams can easily integrate new elements on the site without breaking layouts or disrupting the stacking order of various elements.

---

needed on some client",Open,"Aggregated Topic, Ex owner: Ivan Kulagin, Q4 2024, Visual Builders, Processed",Build,Processed
Ability to customize texts depending on the device,"It could be cool but not necessary I believe

---

useful for long texts and responsive purpose

---

It is part of the ""responsive"" design

---

.

---

.

---

Very nice

---

can't explain why it is not possible yet

---

several customers are asking for this feature

---

/

---

important for presale

---

Adapter les formats en fonction du terminal impose d'ajuster du texte et/ou masquer des éléments

---

will spare a lot of time !

---

very important to be responsive",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q1 2022, Processed",General,Processed
Ability to deactivate segments (like goals),"Since the opportunity detection release, all segments that have been recently modified are loaded with kameleoon on customers websites. Orange has some recently created segments (still in the creation process) that are not linked to any campaign but that create errors on the website. Since this customer is highly concerned of any error showing up, I'd like to be able to deactivate their unused segments while they are not yet validated.",Open,"_⭐ App System Squad, Ex owner: Mallaury Gruget, Q1 2024, App System, Processed",Build,Processed
Ability to define texts for different languages,"super important features for sites with multiple languages (Rubix for example)

---

.

---

Super important for enterprise customers

---

yees

---

Our business is established in multiple countries - having such a tool would really help us.

---

As a global brand that also has fully translated websites in French, German and Dutch, this feature would help us to do experiments and gain valuable information for different languages, as testing can vary between different locales.

---

We have about 19 webshops all across Europe, among which some are managing different languages in a same webshop.",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q1 2022, Processed",General,Processed
Ability to hyperlink text elements,"Super important if you want to add ""privacy policies"" links or ""terms & agreement"" in a compliance text.

---

will certainly be asked by our customers

---

A client has requested this (Medici.tv) and to be honest this will be for sure an issue if it's not done in the future

---

-

---

important

---

This will give a lot of flexibility and is quite easy to implement

---

It is basic need (e.g. user condition for acception the terms, etc)

---

.

---

Seems to be strange, that it´s not possible yet",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q1 2022, Processed",General,Processed
Ability to hyperlink text elements + enhancement of text content area,/,Open,"Aggregated Topic, Ex owner: Tribe Marketers, Q2 2022, Unprocessed",General,Unprocessed
Ability to insert a content inside a page/pages or associated with multiple instances of selector,"Super usefull if you need to add reassuring messages on multiple spots in a page or in multiple page

---

Would help us share the use of Kameleoon with other teams

---

It seems important to me

---

good",Open,"Aggregated Topic, Ex owner: Ivan Kulagin, _⭐ Campaign Creation Squad, Q4 2024, Start & Admin, Unprocessed",Set up,Unprocessed
Ability to preview variation changes on dashboard,"For clients that have bad name management for campaign. Having the ability to put a screenshot for a variation would be super useful

---

All said in the description",Open,"Aggregated Topic, Ex owner: Loreena, _⭐ App System Squad, _⭐ Campaign Creation Squad, Q4 2024, App System, Processed",Build,Processed
Ability to rename a segment in the segment builder,"as you change your conditions, you usually need to rename the segment.

---

Please",Open,"Aggregated Topic, Ex owner: Loreena, _⭐ App System Squad, Q4 2024, Processed",General,Processed
Ability to select the default statistical method,"The customer desires the ability to choose the default statistical method on the dashboard, rather than just a default view per account and XP.   Having the option to set a default statistical method at the project level or within the account settings would be appreciated.",Open,"_⭐ Reporting Squad, Ex owner: nan, Q4 2025, App System, Unprocessed",Build,Unprocessed
Ability to use custom fonts on the widget editor,"Clients have their own fonts on their website.
I think we can add CSS to do it but that defeats the no code purpose :)

---

again, this will be amazing for clients like Renault who try to do a lot on there own

---

.

---

Always important to keep CI/CD

---

Already asked by Congstar, they would like to use the widget editor but would like a customized editor like they already have a deeper integration with their CMS.

---

Open Farm Pet asked me about it

---

/

---

customer request

---

Several customer requests

---

Besoin impératif pour Somfy (POC en cours)

---

To create widgets respecting customers' graphic standards",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q1 2022, Integrations, Processed",Set up,Processed
Ability track engagement metrics page,"Ability to track engagement metrics by page. At the moment you can set up scroll tracking or time spent as goals for your test, but if you are targeting multiple pages in your test (e.g. catalog and PDP) you won't know which page type these metrics are referring to. As they have very different structure and purposes, this makes those metrics redundant.
I would like to be able to specify what page type I would like these goals to fire on (e.g. create a goal for time spent on PDP, and a separate goal for time spent on Catalog within the same test).",Open,"_⭐ Reporting Squad, new idea, important, Ex owner: Calixthe Mattei, Q2 2025, Integrations, Unprocessed",Set up,Unprocessed
Able add custom CSS widget website widget,"Be able to add custom CSS to a widget that is for the website and not for the widget.
I don't my css to be prefix by the widget ID, because I want to add CSS to the page it self not to my banner.
->Example when I add a banner in a sticky menu, I need to move the margin-top of the content div by the height of my banner.
Current work around, add the CSS to a variation where you copy/pasted the code (or add to a variation hoping that nobody will update the widget to erase the line of code added after attaching the widget if there is an update)
A problem seen with multiple CSM.",Open,"_⭐ Studio Squad, new idea, important, Ex owner: Lily from Kameleoon, Q4 2023, Visual Builders, Unprocessed",Build,Unprocessed
Able add description custom data able see,"Be able to add a description to a custom data and be able to see that description on hover with the ""?"" in the segment builder.
Sometime the customdata is named ""XXX"" and it's hard to know what it stands for.",Open,"new idea, nice to have, Ex owner: Tribe Marketers, Q2 2021, Processed",General,Processed
Able add links brief upload files pdf,"Be able to add a links to a brief or upload files  (pdf, screenshot, powerpoint) to a test to be able to follow it month after
Super useful for campaign management.",Open,"_⭐ Reporting Squad, new idea, nice to have, Ex owner: Calixthe Mattei, Q4 2024, Data & Governance, Processed",Analyze,Processed
Able add own CSS class widget graphical,"Be able to add my own CSS class on widget graphical editor elements.
For example, I have my class ""primary-button"" and my class ""secondary-button""
Instead of copy/pasting CSS rules for those, I would like to add the class from my website for a specific input.",Open,"🙂 Interface squad, new idea, nice to have, Ex owner: Tribe Marketers, Q2 2022, Visual Builders, Processed",Build,Processed
Able assign already generated widget test variation,"Being able to assign an already generated widget to a test variation without the need to open the WYSIWYG-Editor.
Especially when one wants to test PR-widgets it highly annoying.",Open,"🙂 Dev Tools Squad, new idea, important, Ex owner: nan, Q1 2023, Visual Builders, Processed",Build,Processed
Able attach goals after experiment launched,"Be able to attach goals after an experiment has been launched
(for a German client)
 Ronan",Open,"new idea, important, Ex owner: Tribe Data Analysts, Q2 2021, Processed",General,Processed
Able back A/B test perso site configuration,"Be able to back up all my A/B test, perso and site configuration in one click and obviously to come back to an old configuration if needed.",Open,"new idea, nice to have, Ex owner: Tribe Marketers, Q1 2021, Processed",General,Processed
Able comment test result page test global,Being able to comment on a test result page or on a test at a global level to see in the program management.,Open,"new idea, critical, Ex owner: nan, Q4 2025, Unprocessed",General,Unprocessed
Able create HTML block same way offer,"Be able to create an HTML block (same way as we offer the possibility to create a paragraph for example) in the graphic editor.
Graphic editor is generally for Marketing people so they do not how to code with JS, therefore it would be really helpful to give them the possibility to create HTML block.",Open,"🙂 Interface squad, new idea, important, Ex owner: nan, Q2 2022, Processed",General,Processed
Able create goal multiple projects,"Be able to create a goal for multiple projects.
Creating a goal for each project, is a very time consumning task",Open,"_⭐ Reporting Squad, new idea, important, Ex owner: Calixthe Mattei, Q4 2023, Data & Governance, Unprocessed",Analyze,Unprocessed
Able customize color palette associated site graphic,"Be able to customize the color palette associated with the site in the graphic editor by adding, modifying or deleting colors.",Open,"_⭐ Studio Squad, new idea, nice to have, Ex owner: Lily from Kameleoon, Q1 2025, Start & Admin, Processed",Set up,Processed
Able display simulation panel side like inspect,Being able to display the simulation panel on the side (like the inspect console).,Open,"new idea, nice to have, Ex owner: Tribe Marketers, Q2 2021, Core Techno, Processed",Set up,Processed
Able duplicate experiment segment goal multiple projects,"being able to duplicate an experiment (or segment / goal / CD) on multiple projects altogether. For example if you want to duplicate a goal on 10 different projects, one need to duplicate 10 times. It would be handy if in the duplication modal we could multiple-select the projects on which we need to duplicate the element.",Open,"_⭐ Reporting Squad, new idea, nice to have, Ex owner: Calixthe Mattei, Q2 2024, Data & Governance, Processed",Analyze,Processed
Able export data daily chart report,Being able to export data from the daily chart in the report,Open,"new idea, important, Ex owner: Calixthe Mattei, Q1 2025, Data & Governance, Unprocessed",Analyze,Unprocessed
Able give custom selectors names VERY helpful,"Being able to give custom selectors names would be VERY helpful. Currently, I cannot really use existing custom selectors because I'm not sure what they target.",Open,"new idea, important, Ex owner: Tribe Marketers, Q1 2021, Processed",General,Processed
Able log Kameleoon errors wether segment code,"Be able to log all Kameleoon errors wether it is a segment or a JS code not working.
It would be a + for IT team.
If you can make it an option to activate in the BO.",Open,"_⭐ Admin & Engine Squad, _⭐ Reporting Squad, new idea, nice to have, Ex owner: Yassin Hassan, Q2 2023, Core Techno, Processed",Set up,Processed
Able natively know which page goal converted,"Be able natively to know on which page a goal was converted.
Super efficient for click tracking + for scroll.
Having to create a custom data or code it is a pain.
Bonsoirs
Cegid
Groupe ERAM
FDJ",Open,"new idea, critical, Ex owner: Calixthe Mattei, Q2 2025, Processed",General,Processed
Able see code stopped experiment having duplicate,"Being able to see the code of a stopped experiment without having to duplicate the experiment
-> VandenBorre
-> Eram",Open,"new idea, important, Ex owner: Ivan Kulagin, Q2 2025, Processed",General,Processed
Able see last login page,"Be able to see the last login in the team page
and be able to sort and filter by last logged in in the team page
A way of cleanup unused account
Requested by BPCE",Open,"🙂 Interface squad, new idea, nice to have, Ex owner: Tribe Marketers, Q1 2023, Start & Admin, Processed",Set up,Processed
Able see which custom selectors used which,"Being able to see which custom selectors are being used in which tests would be quite helpful. Currently, I might unintentionally delete a selector that another live(!) test is using.",Open,"new idea, important, Ex owner: Tribe Marketers, Q1 2021, Processed",General,Processed
Able select action based custom data value,"Be able to select an action based on a custom data value.
Exemple:
popin_closed = true
show the small badge",Open,"🙂 Interface squad, new idea, important, Ex owner: Tribe Marketers, Q2 2022, Processed",General,Processed
Able set specific time import XML files,"Be able to set a specific time for the import of XML files in the product recommendations module.
Then we will know that our latest updates always get included.",Open,"new idea, important, Ex owner: Lily from Kameleoon, Q1 2024, Tech & Perso Builders, Processed",Build,Processed
Able use graphical editor image change tags,"Be able to use the graphical editor for image change with  and  tags.
Problem: currently client using those types of implementation (cloudImage etc...) cannot use the graphical editor to change images.
Multiple sources of image for various screen sizes, Kameleoon only change one image",Open,"🙂 Interface squad, new idea, important, Ex owner: Tribe Marketers, Q2 2022, Processed",General,Processed
Able use rich text text field same,"Be able to use rich text in an text field in the same paragraph in the widget graphical editor.
(Colors, List item, numbered list item)
Be able to use their own font (without using CSS)",Open,"🙂 Interface squad, new idea, important, Ex owner: Tribe Marketers, Q2 2022, Visual Builders, Processed",Build,Processed
About next Insight Hub feature,"About the next Insight Hub feature
When presenting this future new feature to customers, they mentioned that it would be really useful to have information about test status (= reliability) appear on this dashboard.",Open,"new idea, nice to have, Ex owner: Luka Macharadze, Q2 2025, App System, Unprocessed",Build,Unprocessed
Access code editor from the graphic editor and vice versa,"Client : JetBrainsRequest : when editing an experiment, you can edit it from the graphic or code editor but if you want to switch when working on the experiment, you have to go back to the back office which is a bit of a hassle
--
Marie LemaireCustomer Success Manager SeniorTel. +33 6 76 78 26 58www.kameleoon.com1251 Ave. of the Americas10020 New York",Open,"Ex owner: nan, Q3 2023, Tech & Perso Builders, Unprocessed",Build,Unprocessed
Access page goal new option,"Could we use the information from the dataLayer to trigger natively a access to a page type of goal.
We can create easily a CD that track the pageType for example so that would be great if you could without any code use this for a goal.",Open,"_⭐ Reporting Squad, Ex owner: Calixthe Mattei, Q1 2024, Data & Governance, Processed",Analyze,Processed
Activation API processConversion enhancement,"Allow Kameleoon users to pass through Kameleoon.API.Goals.processConversion an argument, that would give more context to the conversion
something like:
Kameleoon.API.Goals.processConversion(123456, {type: ""Added to cart"", cartItems: 4, mainItemCategory: ""Shoes"", visitorType: ""Rich person""})",Open,"🙂 Dev Tools Squad, Ex owner: nan, Q3 2023, Core Techno, Unprocessed",Set up,Unprocessed
ActiveCampaign integration,"During a demo, the prospect asked for an integration with the tool Active Campaign: https://www.activecampaign.com/  ActiveCampaign offers email marketing, marketing automation, sales automation, and CRM functionality.",Open,"_⭐ Integrations Squad, Prospect, Ex owner: Isabelle Ung, Q4 2023, Integrations, Processed",Set up,Processed
Adapt currency with BO timezone,"When we create a US account, the currency is by default in €. It would be great to adapt it to the selected timezone. Thanks",Open,"_⭐ Admin & Engine Squad, Ex owner: Yassin Hassan, Q3 2024, Core Techno, Processed",Set up,Processed
Adaptations view settings Audiences,"Adaptations of view settings within the ""Audiences""
- Same scaling of the Y-axis on all result pages
- Option to display all segments on one page.
- Possibility to permanently display the segment size (instead of hover-only).
- Possibility to export only filtered results (PDF shows all)",Open,"_⭐ Reporting Squad, new idea, nice to have, Ex owner: Calixthe Mattei, Q2 2023, App System, Unprocessed",Build,Unprocessed
Add,"endless possibilities :)

---

yes yes yes yes yes :)

---

Indispensable as we quite often used basic JS on the top of all

---

.

---

Graham & Brown and Natixis would love this feature.",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q1 2022, Processed",General,Processed
Add Dynamic content new experiment type addition,"Add Dynamic content as a new experiment type in addition to Code editor and Graphic editor.
Make it possible to add content to the web page by injecting HTML, CSS and JS in an experiment, only using code. So just like the Code editor, but make it possible to add HTML as well. In the first step, we should choose the location where to inject this Dynamic content just like we do in graphic editor. Then allow for using only HTML, CSS and JS. So it's kind of a mix between code editor and graphic editor. Dynamic Yield has this option and it was very handy. I don't think the graphic editor is convenient for these types of experiments, as I prefer to work with the code and not point-and-click experiments.",Open,"_⭐ Campaign Creation Squad, new idea, important, Ex owner: Ivan Kulagin, Q3 2025, Tech & Perso Builders, Unprocessed",Build,Unprocessed
Add Filter Support Individual Items Compare Page,"Add Filter Support for Individual Items on Compare Page
Description:
Currently, the “Compare” results page only allows applying filters globally across all compared goals. However, there is no option to apply filters individually to each compared goal being compared. This limits the ability to perform more detailed and accurate comparisons.
Feature Request:
Enable the ability to apply filters on a per-compared goal basis within the comparison view.
Why It Matters:
This enhancement would allow for more flexible and meaningful comparisons directly within the tool. Without this feature, I’m currently forced to use external tools like Google Analytics to get the breakdown I need.",Open,"new idea, nice to have, Ex owner: Calixthe Mattei, Q3 2025, Data & Governance, Unprocessed",Analyze,Unprocessed
Add QR-code simulation share-modal access easily physical,"Add a QR-code to the simulation share-modal, so QA can access easily with a physical mobile device",Open,"new idea, important, Ex owner: Tribe Marketers, Q3 2021, Core Techno, Processed",Set up,Processed
Add SRM list custom alerts,Add SRM to the list of custom alerts. Instead of an in-app notification that a customer might miss would it be possible to add SRMs in the list of custom alerts?,Open,"_⭐ Reporting Squad, new idea, nice to have, Ex owner: Calixthe Mattei, Q4 2023, App System, Processed",Build,Processed
Add a 'focus/selected' state to a button,Having all possible state would be amazing (that are optional to configure),Open,"Aggregated Topic, Ex owner: Lily from Kameleoon, Q4 2024, Processed",General,Processed
